game_id,person_id,team_id,starter,seconds,points,fg2_made,fg2_attempted,fg3_made,fg3_attempted,ft_attempted,ft_made,offensive_reb,defensive_reb,assists,steals,blocks,turnovers,defensive_fouls,offensive_fouls
22401198,203992,1610612746,false,935.6,5,1,3,1,4,0,0,1,0,0,1,0,0,5,0
22401198,1626181,1610612746,true,2627.9999999999995,11,3,7,1,6,2,2,0,2,0,1,0,2,4,0
22401198,1627884,1610612746,false,1064.1999999999998,3,1,2,0,1,2,1,1,4,1,0,0,0,1,0
22401198,1629599,1610612746,false,227.99999999999997,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
22401198,1627732,1610612746,false,640,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0
22401198,203110,1610612744,true,2310.9999999999995,14,1,3,4,6,0,0,0,3,4,1,2,2,4,1
22401197,1629162,1610612759,false,208,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
22401197,202066,1610612761,false,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22401197,1630577,1610612759,true,2081.0000000000005,14,1,3,4,6,0,0,1,5,1,0,1,0,1,0
22401197,203084,1610612759,true,2052,18,2,3,2,7,8,8,1,4,1,3,0,0,0,0
22401197,1630567,1610612761,true,2190,35,13,21,2,2,4,3,3,8,8,0,0,4,0,0
22401197,1630658,1610612761,false,1756,10,5,7,0,0,1,0,1,1,0,0,0,0,6,0
22401197,1642367,1610612761,true,2091,9,4,9,0,5,2,1,4,10,10,4,0,2,3,0
22401197,101108,1610612759,true,2031.0000000000002,15,3,7,2,6,4,3,1,6,6,4,0,1,2,0
22401197,202687,1610612759,true,839,2,1,3,0,0,0,0,1,6,0,0,0,1,0,1
22401197,1630534,1610612761,true,2247,14,4,7,2,8,0,0,1,1,1,4,1,1,5,0
22401197,1642419,1610612761,true,2537,25,2,4,7,15,0,0,1,8,3,0,0,2,4,1
22401197,1629640,1610612759,false,1632.0000000000002,23,9,10,1,4,5,2,3,6,0,0,1,2,0,0
22401197,1631103,1610612759,false,1000,11,3,3,1,1,2,2,1,2,0,1,0,0,3,0
22401197,1630639,1610612761,false,1278.0000000000002,14,2,3,1,4,7,7,0,0,0,0,0,1,1,0
22401197,1631104,1610612759,false,1167,8,2,3,0,2,4,4,0,1,4,2,0,3,2,0
22401197,1642264,1610612759,true,2232,20,4,13,1,3,9,9,1,7,6,0,0,4,2,0
22401197,1642347,1610612761,true,2169,11,2,7,2,5,2,1,2,2,9,0,0,3,3,0
22401197,1630572,1610612759,false,1138,12,6,6,0,2,0,0,0,4,4,1,0,1,1,0
22401196,1631119,1610612760,true,136,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
22401196,1631311,1610612740,false,2014.9999999999998,17,3,6,2,9,5,5,0,5,6,0,0,0,4,0
22401196,1642505,1610612760,false,892.8000000000002,5,0,1,1,2,2,2,2,3,1,0,0,0,4,0
22401196,1630526,1610612740,true,1999.3999999999999,10,3,9,1,7,2,1,7,9,5,1,0,2,3,0
22401196,1631288,1610612740,false,1681,18,5,10,1,4,8,5,2,2,1,1,0,1,4,0
22401196,1630598,1610612760,true,2193,28,6,12,2,6,10,10,2,5,7,2,0,1,3,1
22401196,1641794,1610612760,true,2167.9999999999995,13,4,6,1,1,2,2,1,9,1,1,0,3,5,0
22401196,1631232,1610612740,true,2362.599999999999,15,4,6,1,4,5,4,1,5,2,2,1,2,3,0
22401196,1641810,1610612740,true,2350.399999999999,20,8,10,0,4,5,4,0,6,0,0,1,0,3,0
22401196,1630283,1610612740,false,923.6,3,1,1,0,0,2,1,0,5,1,0,1,1,0,1
22401196,1642349,1610612760,false,1070.4,7,2,3,1,7,0,0,1,0,2,0,1,1,4,0
22401196,1630631,1610612740,true,2016.9999999999998,14,4,7,1,9,3,3,0,3,4,2,0,6,0,0
22401196,1629026,1610612760,true,2225.9999999999995,17,8,11,0,7,4,1,2,10,2,3,0,3,1,0
22401196,1630198,1610612760,true,2088.3999999999996,17,3,4,2,11,5,5,3,3,1,2,0,0,3,0
22401196,203901,1610612740,true,1051,3,0,4,1,1,0,0,1,1,3,0,1,0,1,0
22401196,1641745,1610612760,false,1312.4,2,1,2,0,5,0,0,0,1,0,0,0,0,1,0
22401196,1642382,1610612760,false,2312.9999999999995,26,8,11,2,8,4,4,6,4,2,0,3,2,2,1
